DestinationID;Name;CityProvince;Description;Rate ;Image;KeyMain;EntranceFee;AccommodationCost;TotalTourCost;TourPricePerPerson
1;Bãi Dài Cam Ranh;000hánh Hòa;"Bãi bi?n hoang so v?i v? d?p t? nhiên, lý tu?ng d? thu giãn và t?m bi?n";48/5;https://wwwuncovervietnamcom/wp-content/uploads/2021/06/bai-dai-beach-cam-ranh-vietnamjpg;"""bi?n"" , ""vui choi"" , ""ch?p ?nh"" , ""nghi du?ng """;Mi?n phí;300000–800000;300000–800000;100000–300000
2;Tháp Bà Ponagar;000hánh Hòa;"Công 00000ình 000i?n 00000úc Cham c?, noi du 000hách có th? tìm hi?u v? l?ch s? và van hóa Cham";45/5;https://tse4mmbingnet/th?id=OIPOHY4mpZ7m_u000pGiC1e9D8wHaF7&pid=Api&P=0&h=220;"""tham quan"" , ""tháp"" , ""ch?p ?nh "" , ""di tích"" , ""van hóa""";20000–80000;300000–800000;100000–300000;500000–1500000
3;Thành c? Diên 000hánh;000hánh Hòa;"Di tích l?ch s? v?i 000i?n 00000úc thành c? d?c dáo, du?c xây d?ng t? th?i Nguy?n";45/5;https://tse2mmbingnet/th?id=OIPBzA87w8zdYgM0o41Ht000QCQHaFj&pid=Api&P=0&h=220;"""tham quan"" , ""di tích "" , ""l?ch s?"" , ""ch?p ?nh"" ,""van hóa""";20000–80000;300000–800000;100000–300000;500000–1500000
4;VinWonders Nha 00000ang;000hánh Hòa;"Công viên gi?i 00000í 00000ên d?o Hòn 00000e, n?i b?t v?i nhi?u 00000ò choi và ho?t d?ng h?p d?n";46/5;https://tse1mmbingnet/th?id=OIP5z6-9r5crvDbj01R000eQO2gHaDv&pid=Api&P=0&h=220;"""công viên "" ,""vui choi "" , ""gi?i 00000í "" , ""ch?p ?nh "" ";300000–800000;1500000–500000;100000–300000;200000–500000
5;Su?i Ba H?;000hánh Hòa;"G?m ba h? nu?c 00000ong xanh n?m 00000ên núi, thích h?p cho 00000e00000ing và t?m su?i";43/5;https://cdn1nha00000angtodayvn/images/photos/000dl-ba-ho-nha-00000ang-2jpg;"""su?i"" , ""ch?p ?nh "" ,"" vui choi """;Mi?n phí;300000–800000;200000–600000;1500000–400000
6;Ð?o Phú Qu?c ;000iên Giang;"Là di?m du l?ch n?i ti?ng nh?t 000iên Giang, du?c m?nh danh là ""Ð?o Ng?c"" v?i nhi?u bãi bi?n d?p và d?ch v? cao c?p";48/5;https://vietnam00000avel/sites/default/files/inline-images/du-lich-phu-quoc-thang-10-jpeg;"""d?o"" , "" bi?n "" ,""ch?p ?nh"" , ""nghi du?ng"" , ""vui choi"" , "" an u?ng """;Mi?n phí;1500000–500000;200000–500000;300000–700000
7;Bi?n Mui Nai;000iên Giang;"Bãi bi?n hi?n hòa, noi lý tu?ng d? thu giãn và ng?m c?nh hoàng hôn";47/5;https://tse1mmbingnet/th?id=OIPYa_axd_TszOeE0003Qppj000MwHaFj&pid=Api&P=0&h=220;"""bi?n"" , ""vui choi"" , ""ch?p ?nh"" , ""nghi du?ng """;Mi?n phí;300000–800000;300000–800000;100000–300000
8;Chùa Láng Cát;000iên Giang;Ngôi chùa c? 000ính mang d?m d?u ?n Ph?t giáo;44/5;https://tse4mmbingnet/th?id=OIP8FZLE40000ihfcd4nTA000jEZQHaFj&pid=Api&P=0&h=220;"""chùa"" ,"" tham quan "" , ""van hóa """;20000–80000;300000–800000;100000–300000;500000–1500000
9;Vu?n qu?c gia U Minh Thu?ng;000iên Giang;"R?ng ng?p m?n v?i h? sinh thái phong phú, là noi lý tu?ng d? 000hám phá thiên nhiên hoang dã và tham quan b?ng thuy?n";46/5;https://nucuoime000ongcom/wp-content/uploads/vuon-quoc-gia-u-minh-thuong-toan-canhjpg;"""r?ng"" , ""tham quan"" , ""ch?p ?nh "" ";50000–200000;300000–800000;200000–600000;500000–1500000
10;M? ch? S?;000iên Giang;"000hu di tích l?ch s? n?i ti?ng, g?n li?n v?i cu?c 000háng chi?n ch?ng Pháp";44/5;https://tse2mmbingnet/th?id=OIPTzRGCJsnEfeGXnPqQQFTLgHaFj&pid=Api&P=0&h=220;"""di tích "" , ""l?ch s? "" , ";20000–80000;300000–800000;100000–300000;500000–1500000
